Experiment,model_training.learning_rate,model_training.hidden_units,model_training.batch_size,model_training.epochs,model_training.optimizer,model_training.dropout_rate,feature_selection.n_components,accuracy,macro_f1
exp10-pca-150,0.01,128,64,30,adam,0.2,150,0.8467,0.8477
exp11-pca-200,0.01,128,64,30,adam,0.2,200,0.8425,0.8457
exp01-lr-0.0005,0.0005,128,64,30,adam,0.2,100,0.8425,0.8427
exp14-bs-128,0.01,128,128,30,adam,0.2,100,0.8392,0.8406
exp02-lr-0.001,0.001,128,64,30,adam,0.2,100,0.8383,0.8392
exp06-hu-64,0.01,64,64,30,adam,0.2,100,0.8367,0.8374
exp17-alpha-0.0001,0.01,128,64,30,adam,0.0001,100,0.8342,0.8329
exp18-alpha-0.01,0.01,128,64,30,adam,0.01,100,0.8333,0.8335
exp20-combo,0.005,256,64,30,adam,0.2,200,0.8325,0.8311
exp03-lr-0.005,0.005,128,64,30,adam,0.2,100,0.8308,0.8326
exp16-opt-sgd,0.01,128,64,30,sgd,0.2,100,0.8275,0.8259
exp08-hu-512,0.01,512,64,30,adam,0.2,100,0.8217,0.8205
exp15-bs-256,0.01,128,256,30,adam,0.2,100,0.8208,0.8143
exp09-pca-50,0.01,128,64,30,adam,0.2,50,0.8208,0.8201
exp04-lr-0.02,0.02,128,64,30,adam,0.2,100,0.8208,0.8172
exp13-bs-32,0.01,128,32,30,adam,0.2,100,0.8167,0.8144
exp07-hu-256,0.01,256,64,30,adam,0.2,100,0.8133,0.8172
exp12-pca-300,0.01,128,64,30,adam,0.2,300,0.8117,0.8105
baseline,0.01,128,64,30,adam,0.2,100,0.7975,0.7971
exp19-epochs-60,0.01,128,64,60,adam,0.2,100,0.7975,0.7971
exp05-lr-0.05,0.05,128,64,30,adam,0.2,100,0.7975,0.7971
